nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
6,10,744,0.33333333333333337,1,-0.19999999999999996,0.3892494720807664,-0.06009893215242871,0,5
6,10,758,0.33333333333333337,0.75,-0.2500000000000007,0.3333333333333336,NA,0,6
6,9,759,0.3,0.7142857142857143,-0.3636363636363636,-0.11704114719613137,0.2854769828871737,-0.058823529411764705,6
6,9,760,0.3,0.7142857142857143,0,0.3813563849048442,0.2126864970761988,0,6
6,8,761,0.26666666666666666,0.631578947368421,0,-0.4666666666666667,0.2927700218845599,-0.2,6
2,1,766,0.5,NA,0,NA,NA,0,2
6,9,770,0.3,0.7142857142857143,NA,NA,-0.31622776601683816,-0.10526315789473684,6
3,3,773,0.5,1,0,NA,NA,-0.125,3
4,6,779,0.5,1,-0.28571428571428586,NA,NA,-0.03448275862068967,4
6,11,781,0.36666666666666664,0.7272727272727273,-0.1702127659574468,NA,0.2192645048267577,-0.08791208791208788,6
6,11,786,0.36666666666666664,0.75,-0.13793103448275917,-0.2020427084520681,0.23956914688170483,0,6
6,8,802,0.26666666666666666,0.631578947368421,0,NA,-0.29277002188455997,-0.12,6
6,9,804,0.3,0.7142857142857143,-0.15384615384615383,-0.06904309634237424,-0.09926439540660961,0,6
6,11,808,0.36666666666666664,0.8823529411764706,-0.15789473684210548,-0.23237900077244317,0.27558798054337064,-0.18461538461538451,6
6,8,816,0.26666666666666666,0.5,0,0.060858061945018464,0.11812488464372366,0,6
6,14,823,0.4666666666666667,0.9230769230769231,-0.1428571428571428,-0.316227766016844,0.2605086231422014,0,6
3,2,824,0.3333333333333333,0,NA,NA,NA,0,3
6,11,825,0.36666666666666664,0.8823529411764706,-0.22222222222222268,0.06606874726434074,-0.3460995176835835,-0.03529411764705878,6
6,15,830,0.5,1,-0.11940298507462688,-0.11515703408142536,-0.11960067346879046,0,6
4,6,836,0.5,1,0,-0.15811388300841897,NA,0,4
6,12,849,0.4,0.8461538461538461,-0.09090909090908979,0.2581988897471613,0.052371628624306624,-0.1379310344827586,6
2,1,857,0.5,NA,NA,NA,NA,0,2
6,9,870,0.3,0.6521739130434783,0,NA,-0.07248741117436266,-0.04651162790697674,6
6,12,872,0.4,0.8461538461538461,-0.3333333333333333,-0.330289129537908,0.3111549781628295,0,6
6,7,876,0.23333333333333334,0.4,-0.20689655172413798,-0.4183300132670377,0.11677484162422906,0,6
6,12,882,0.4,0.8461538461538461,-0.16666666666666674,-0.15968095681115976,0.12441177443751374,0.027027027027026935,6
6,15,888,0.5,1,-0.20000000000000004,-0.04029114820126957,-0.12984428023957692,-0.0526315789473684,6
6,8,891,0.26666666666666666,0.631578947368421,0,-0.227429413073671,-0.02034971317758356,0.06976744186046512,6
5,8,906,0.4,0.7894736842105263,-0.25,-0.10314212462587934,0.19571898390003417,0,5
6,15,908,0.5,1,0.11764705882352937,NA,NA,-0.11428571428571427,6
6,12,914,0.4,0.8461538461538461,0,NA,-0.29513385516170026,0.027027027027026935,6
6,15,938,0.5,1,-0.1904761904761905,0.26417003815812634,-0.05379358673207515,NA,6
6,13,945,0.4333333333333333,0.8666666666666667,-0.13043478260869573,-0.2747104630503134,0.369525048878967,0.00763358778625951,6
6,14,954,0.4666666666666667,0.9230769230769231,-0.1428571428571428,0.06406039838580506,-0.1189422033772476,0,6
6,14,955,0.4666666666666667,0.9230769230769231,-0.1428571428571428,-0.2510395055231988,0.26335325471774224,-0.14074074074074078,6
5,7,959,0.35,0.8,-0.23529411764705913,0.5291502622129151,-0.4166666666666665,0,5
6,8,963,0.26666666666666666,0.631578947368421,0.21951219512195122,-0.12403473458920844,-0.29277002188455997,-0.10344827586206896,6
6,11,965,0.36666666666666664,0.8823529411764706,0,0.008674687714152795,-0.03163044551815441,0,6
6,15,982,0.5,1,-0.11940298507462688,-0.13793103448275823,0.1671767902042983,0,6
6,15,983,0.5,1,-0.11111111111111113,-0.1875000000000001,0.14867945384103073,-0.09999999999999996,6
6,11,985,0.36666666666666664,0.7272727272727273,-0.3200000000000002,0.46291004988627454,-0.18902896224064872,0.05714285714285723,6
6,14,986,0.4666666666666667,0.9230769230769231,-0.2857142857142858,-0.21320071635560892,0.1043871444708816,0,6
6,13,988,0.4333333333333333,0.8666666666666667,-0.05405405405405382,NA,-0.057735026918962394,0.07142857142857145,6
6,15,990,0.5,1,-0.11111111111111113,-0.18791701752128628,-0.13250619322418888,0,6
6,11,997,0.36666666666666664,0.8823529411764706,0,0.08333333333333041,-0.43479368612167546,0.10465116279069764,6
6,11,147 (175),0.36666666666666664,0.75,NA,-0.24574990713297382,0.29071909665360024,0,6
5,8,342 (392),0.4,0.7894736842105263,NA,-0.28005601680560194,0.17952739905107495,-0.3333333333333333,5
4,6,501 (510),0.5,1,-0.28571428571428586,NA,-0.3333333333333333,-0.15384615384615388,4
6,13,769 (840),0.4333333333333333,0.8666666666666667,0.16513761467889906,-0.11599076460303769,0.33110199063054474,-0.06849315068493153,6
6,15,956 (160),0.5,1,-0.20000000000000004,0.13596291955146103,0.3761380568143427,0.014598540145985406,6
6,15,272,0.5,1,-0.10655737704918018,-0.11516335992622015,-0.2721989418070502,-0.07999999999999992,6
6,7,705,0.23333333333333334,0.4,0,0,-0.0601929265428844,0,6
5,6,193,0.3,0.5454545454545454,0,-0.34299717028501714,-0.22086305214969296,0,5
6,10,498,0.33333333333333337,0.6923076923076923,0.31034482758620685,-0.12229018009359567,-0.441193433368509,0,6
6,7,928,0.23333333333333334,0.42857142857142855,0,0.2927700218845633,-0.31614336734107223,-0.08888888888888888,6
6,15,664,0.5,1,-0.07999999999999992,-0.1512855708376127,-0.37790128879227375,0,6
6,15,255,0.5,1,0.11764705882352937,-0.3892494720807664,0.17810945195645195,-0.07999999999999992,6
6,3,263,0.1,1,-0.5000000000000001,0.499999999999992,NA,0,3
6,15,268,0.5,1,-0.11940298507462688,-0.2000000000000017,-0.10368000270837589,0.09090909090909093,6
6,15,315,0.5,1,-0.11940298507462688,-0.05417786669978344,0.333243633124716,0,6
6,15,329,0.5,1,-0.20000000000000004,-0.13363062095621292,0.22405778528295064,NA,6
6,12,501,0.4,0.8461538461538461,-0.03448275862068967,-0.06388765649999378,0.2946325813531128,0.027027027027026935,6
6,12,651,0.4,0.8461538461538461,0,0.1781741612749496,0.2029623239173445,-0.2,6
6,9,656,0.3,0.6521739130434783,-0.17391304347826084,-0.3054236108907518,-0.21866873549623111,-0.25999999999999995,6
6,6,660,0.2,0.25,-0.20000000000000057,NA,-0.44721359549995793,0,6
6,10,686,0.33333333333333337,0.75,-0.1764705882352943,0.021437323142812405,-0.012786929232189296,0,6
6,11,707,0.36666666666666664,0.8823529411764706,-0.15789473684210548,-0.40378642654362545,-0.3763241291589817,0.0722891566265061,6
6,9,729,0.3,0.5,-0.2162162162162162,0.15811388300840973,0.014744195615490136,-0.018867924528301886,6
6,15,635,0.5,1,-0.15384615384615377,-0.15075567228888187,-0.16086107119544957,0,6
6,9,412,0.3,0.7142857142857143,-0.125,NA,0.07359464838439118,0,6
3,3,681,0.5,1,0,-0.5000000000000017,0.4999999999999996,0,3
6,11,855,0.36666666666666664,0.75,-0.03125,-0.04950737714883504,0.14983492188265263,0,6
6,14,141,0.4666666666666667,0.9230769230769231,0.007874015748031421,NA,-0.12437960423483513,-0.12500000000000006,6
6,9,126,0.3,0.6521739130434783,-0.17391304347826084,-0.31622776601683633,0.5187381641932788,0,6
6,12,949,0.4,0.8461538461538461,0,-0.23904572186687684,0.056604941258174224,0.06796116504854367,6
6,13,131,0.4333333333333333,0.8666666666666667,-0.14035087719298253,-0.12309149097933844,0.0899557853309109,0,6
6,8,915,0.26666666666666666,0.5294117647058824,0,0,0.024409709731319267,0,6
6,6,663,0.2,0.6,0,NA,0.5000000000000004,-0.125,5
6,13,127,0.4333333333333333,0.8666666666666667,-0.20930232558139536,NA,-0.17670211306199624,0,6
6,15,999,0.5,1,-0.17647058823529402,0.049542082640055454,0.08821326813600659,0,6
6,13,223,0.4333333333333333,0.8666666666666667,-0.14035087719298253,-0.22552409234418172,0.1393081137749779,0,6
6,8,281,0.26666666666666666,0.631578947368421,0.15789473684210525,0.3535533905932767,0.12244325461989776,0.06976744186046512,6
6,9,158,0.3,0.6521739130434783,0,0,-0.3162277660168374,0,6
4,6,586,0.5,1,-0.19999999999999998,-0.31622776601683944,-0.44654373765082983,0,4
5,10,690,0.5,1,-0.25,-0.24976918100516904,0.09287537736724326,-0.19999999999999996,5
6,14,693,0.4666666666666667,0.9230769230769231,-0.1395348837209304,-0.1916413178660384,-0.09967568724798095,-0.032786885245901676,6
5,6,848,0.3,0.6,-0.20000000000000057,NA,0.4330127018922193,0,5
6,13,998,0.4333333333333333,0.8666666666666667,-0.14035087719298253,-0.07340252743933279,0.21957751641341972,0,6
6,13,110,0.4333333333333333,0.8666666666666667,0.02500000000000013,0.11595018087284469,NA,0,6
6,12,102,0.4,0.7894736842105263,-0.12500000000000006,-0.09759000729485323,-0.09211235664670768,0,6
6,10,145,0.33333333333333337,0.75,0,-0.24999999999998226,-0.33333333333333753,0,6
6,12,740,0.4,0.8461538461538461,0.058823529411764726,-0.1342312110428048,0.026904597603630998,0,6
3,3,842,0.5,1,0,NA,-0.5000000000000056,0,3
6,15,631,0.5,1,-0.15384615384615377,-0.06131393394849336,0.3659263274913889,0,6
6,12,150,0.4,0.7894736842105263,0.12195121951219517,-0.16903085094570278,-0.24314888117038527,-0.13684210526315801,6
4,6,135,0.5,1,-0.28571428571428586,-0.15811388300841997,-0.44711452292552417,0.07692307692307689,4
5,7,169,0.35,0.8,-0.0769230769230769,-0.3442651863295518,-0.41666666666666613,0,5
6,10,174,0.33333333333333337,0.6428571428571429,-0.19999999999999996,0,-0.0013291856564345275,0,6
6,15,989,0.5,1,-0.11111111111111113,0.2182178902359855,-0.11176398290377529,0,6
6,9,622,0.3,0.6521739130434783,0.1176470588235294,-0.2610754246544285,-0.3162277660168378,-0.016129032258064512,6
6,13,187,0.4333333333333333,0.8666666666666667,-0.151898734177215,-0.12284057901591838,-0.36509793118478173,0.025000000000000046,6
6,12,941,0.4,0.8461538461538461,-0.09090909090908979,-0.2750921221621475,0.410333839329366,-0.09090909090909094,6
6,11,450,0.36666666666666664,0.7272727272727273,0,0.36538461538461814,-0.20132709870386858,-0.04761904761904762,6
6,9,179,0.3,0.5454545454545454,0,-0.12452441171884254,-0.05976143046671939,0,6
6,11,326,0.36666666666666664,0.8823529411764706,0.15384615384615377,-0.34286375654996787,NA,0,6
6,15,108,0.5,1,-0.19469026548672558,-0.19999999999999787,-0.19996128184234988,0,6
6,15,289,0.5,1,-0.17647058823529402,-0.14048787173725416,-0.034443338247505215,0,6
6,13,572,0.4333333333333333,0.8666666666666667,0.02500000000000013,-0.2999999999999974,0.20837327114005535,0,6
6,9,526,0.3,0.7142857142857143,NA,0.12227899701112646,0.054814545040696244,0,6
6,15,194,0.5,1,-0.11940298507462688,-0.35634832254991416,-0.2,-0.12244897959183676,6
6,15,753,0.5,1,-0.11940298507462688,NA,0.12424489253576619,-0.11940298507462688,6
6,13,142,0.4333333333333333,0.8666666666666667,0,-0.19599157740244308,-0.18621195867078033,-0.04697986577181209,6
6,12,106,0.4,0.8461538461538461,-0.15384615384615358,-0.29277002188456186,0.33303478510924495,0,6
6,7,540,0.23333333333333334,0.4,-0.4,0.258198889747166,0.4000000000000001,NA,6
6,11,987,0.36666666666666664,0.8823529411764706,-0.15789473684210548,0.28867513459482164,-0.2576115941077608,0,6
6,7,188,0.23333333333333334,0.42857142857142855,0.12500000000000006,0.33183182419798396,-0.07882954661133533,0,6
