Estimate,Std. Error,z-value,Pr(>|z|),variable,team
-9.013507707514623,72.57508387293595,-0.1241956223336293,0.9011603882764754,outdeg,4_5_4
-1.3000739091537952,0.13304389514220175,-9.771766737318032,0,diff,4_5_4
-19.293877690814867,168.8816842162344,-0.11424493887751132,0.9090436290148953,commonReceiver,4_5_4
-10.561890053064346,102.61702868774604,-0.10292531549713044,0.9180222455378964,inertia,4_5_4
16.975249942268814,125.68775241722979,0.13505890284296132,0.8925653031683258,recip,4_5_4
10.56189005306284,86.36512888807407,0.12229345557685264,0.9026666147899327,nodeTrans,4_5_4
17.745495345264835,86.37082540059274,0.20545705408001178,0.8372150481890148,cycle,4_5_4
2.6011570151757626,1.0248275868245826,2.5381410967238107,0.011144304399014704,outdeg,4_5_3
-0.9145149954628522,0.14568976720612553,-6.277139520505743,3.4485858613209075e-10,diff,4_5_3
-2.17131553305462,1.051008348791939,-2.0659355708738145,0.03883456359064774,commonReceiver,4_5_3
-1.5781811884207289,0.9859820033828849,-1.6006186553162434,0.10946140778249536,inertia,4_5_3
-1.0133695848291053,1.5825807637601366,-0.6403272477679985,0.5219598698664172,recip,4_5_3
-0.12504607467264814,0.2454370448929844,-0.5094832963262363,0.6104135036803837,nodeTrans,4_5_3
0.23693063652803337,0.991463545868465,0.23897059807730578,0.8111283816281274,cycle,4_5_3
0.8284112491436111,0.9709760777191181,0.8531736961940396,0.39356298787890753,outdeg,4_5_2
-1.3025380531068445,0.164653926858975,-7.910762154020533,2.6645352591003757e-15,diff,4_5_2
-1.3166831655313607,0.9034263790835482,-1.4574327206020126,0.14499697043347393,commonReceiver,4_5_2
-1.2616863615218732,0.906647036666226,-1.391595968990468,0.16404478022070745,inertia,4_5_2
0.4462056011219428,1.1483231196070012,0.38857146869484865,0.6975931760220548,recip,4_5_2
0.10284037148387937,0.21885842927973645,0.4698944967407801,0.6384303963060158,nodeTrans,4_5_2
1.1856055356187505,0.805499259365906,1.4718890450030537,0.14105084236493037,cycle,4_5_2
