id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
399,4,NA,1_1_6,1,TRUE,TRUE,TRUE,2,342 (392),6,7,7,NA,FALSE,5,6,5,6,FALSE,5,6,6,2,FALSE
399,4,NA,1_1_6,1,TRUE,TRUE,TRUE,4,vero1_1_6,NA,NA,NA,NA,NA,7,7,7,7,FALSE,7,7,7,1,FALSE
429,5,NA,1_1_6,1,TRUE,TRUE,TRUE,1,399,7,7,7,NA,TRUE,7,7,7,1,TRUE,7,7,7,NA,TRUE
429,5,NA,1_1_6,1,TRUE,TRUE,TRUE,2,342 (392),7,7,7,NA,FALSE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
429,5,NA,1_1_6,1,TRUE,TRUE,TRUE,4,vero1_1_6,NA,NA,NA,NA,NA,5,6,7,NA,FALSE,6,6,7,NA,FALSE
342 (392),4,NA,1_1_6,1,FALSE,FALSE,FALSE,1,399,6,6,6,NA,TRUE,6,6,6,NA,TRUE,6,7,7,NA,TRUE
342 (392),4,NA,1_1_6,1,FALSE,FALSE,FALSE,2,429,6,6,6,NA,FALSE,6,6,6,NA,FALSE,6,7,7,NA,TRUE
342 (392),4,NA,1_1_6,1,FALSE,FALSE,FALSE,4,vero1_1_6,NA,NA,NA,NA,NA,6,6,6,NA,FALSE,5,6,7,NA,FALSE
383,5,NA,1_2_6,0,TRUE,TRUE,TRUE,1,200,6,7,6,1,TRUE,6,7,7,NA,TRUE,7,7,7,NA,TRUE
383,5,NA,1_2_6,0,TRUE,TRUE,TRUE,4,vero1_2_6,NA,NA,NA,NA,NA,5,6,7,NA,FALSE,6,6,7,NA,FALSE
200,2,NA,1_2_6,0,TRUE,TRUE,TRUE,1,383,7,7,7,1,TRUE,7,7,7,NA,TRUE,7,7,7,1,TRUE
200,2,NA,1_2_6,0,TRUE,TRUE,TRUE,4,vero1_2_6,NA,NA,NA,NA,NA,5,5,7,2,FALSE,4,4,5,2,TRUE
446,4,NA,2_3_6,0,TRUE,TRUE,TRUE,1,425,6,7,6,NA,TRUE,7,7,6,NA,TRUE,7,7,6,NA,TRUE
446,4,NA,2_3_6,0,TRUE,TRUE,TRUE,4,vero2_3_6,NA,NA,NA,NA,NA,3,2,2,4,FALSE,3,2,3,3,FALSE
425,4,NA,2_3_6,0,TRUE,TRUE,TRUE,1,446,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
