PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
582,3,34,14,16,12,13,12,11,0.977361119,0.981923773,0.978956615,47,46,38,27,29,23,0.986059868,0.987711098,0.983279385,44,82,82,54,56,48
117,3,33,10,12,12,7,9,9,0.973403273,0.976081441,0.984276951,40,48,39,23,25,21,0.983724386,0.987984523,0.984550057,54,60,88,44,16,46
647,3,33,16,18,17,12,13,12,0.978870378,0.985697685,0.980778563,40,48,39,23,25,21,0.983724386,0.987984523,0.984550057,26,22,42,44,16,46
956 (160),3,33,8,10,5,8,9,5,0.978159285,0.990587289,0.982859762,40,48,39,23,25,21,0.983724386,0.987984523,0.984550057,58,90,88,44,16,46
280,2,32,13,11,11,12,8,10,0.985226679,0.974584948,0.978626781,34,31,30,19,21,18,0.985199834,0.983163133,0.98331325,42,68,76,46,42,68
568,2,32,4,4,3,4,4,2,0.972368956,0.959070797,0.972043996,34,31,30,19,21,18,0.985199834,0.983163133,0.98331325,54,72,74,46,42,68
624,2,32,7,6,5,7,5,5,0.974632844,0.975529633,0.962511457,34,31,30,19,21,18,0.985199834,0.983163133,0.98331325,44,38,66,46,42,68
215,2,31,14,7,5,14,6,5,0.975909909,0.977121883,0.976626948,38,42,38,23,23,24,0.983470986,0.984010849,0.983957537,56,68,68,28,84,74
758,2,31,4,9,5,4,8,5,0.977346607,0.974881559,0.965758806,38,42,38,23,23,24,0.983470986,0.984010849,0.983957537,36,74,82,28,84,74
808,2,31,13,10,10,11,10,9,0.97983934,0.977715205,0.974885426,38,42,38,23,23,24,0.983470986,0.984010849,0.983957537,40,68,74,28,84,74
395,1,39,8,5,6,7,5,5,0.976229175,0.976749799,0.961655973,30,19,18,22,15,11,0.985291017,0.982994077,0.981427121,50,72,88,54,44,44
825,1,39,6,6,6,6,4,5,0.987606664,0.970693024,0.986971324,30,19,18,22,15,11,0.985291017,0.982994077,0.981427121,52,64,80,54,44,44
115,2,38,5,5,7,4,5,6,0.968468102,0.964038616,0.975383004,45,26,25,26,20,14,0.985899653,0.984588345,0.982731776,42,63,74,16,50,64
282,2,38,6,7,7,4,5,4,0.988390318,0.972819216,0.967526516,45,26,25,26,20,14,0.985899653,0.984588345,0.982731776,72,38,56,16,50,64
112,2,37,8,7,5,8,6,5,0.97146598,0.979887369,0.967461045,44,30,35,28,23,23,0.984385067,0.988223496,0.982519462,68,52,52,34,66,64
781,2,37,15,13,13,13,12,12,0.980902072,0.985949891,0.987045524,44,30,35,28,23,23,0.984385067,0.988223496,0.982519462,48,49,78,34,66,64
128,1,46,7,9,16,3,5,11,0.983797237,0.992312506,0.986520731,32,50,58,18,31,26,0.983482531,0.990209949,0.988747346,68,64,50,48,24,32
290,1,46,12,11,8,11,10,8,0.976093729,0.984860674,0.98487626,32,50,58,18,31,26,0.983482531,0.990209949,0.988747346,58,66,72,48,24,32
149,3,45,16,15,13,14,13,12,0.986375696,0.980490748,0.983990223,35,21,20,23,17,15,0.985766024,0.984714118,0.986157113,60,60,78,40,44,66
