Estimate,Std. Error,z-value,Pr(>|z|),variable,team
-9.0135077075142,72.57508387281416,-0.12419562233383188,0.9011603882763148,outdeg,4_5_4
-1.3000739091537972,0.13304389514220175,-9.771766737318048,0,diff,4_5_4
-19.293877690817475,168.88168421636448,-0.11424493887743876,0.9090436290149528,commonReceiver,4_5_4
-10.561890053065573,102.61702868785157,-0.10292531549703654,0.918022245537971,inertia,4_5_4
16.9752499422645,125.68775241694976,0.1350589028432279,0.8925653031681151,recip,4_5_4
10.561890053064223,86.3651288880482,0.1222934555769053,0.902666614789891,nodeTrans,4_5_4
17.745495345262324,86.37082540048344,0.20545705408024267,0.8372150481888345,cycle,4_5_4
2.6011570151757737,1.0248275868245917,2.538141096723799,0.011144304399015148,outdeg,4_5_3
-0.9145149954628521,0.14568976720612553,-6.2771395205057425,3.4485858613209075e-10,diff,4_5_3
-2.171315533054632,1.051008348791943,-2.065935570873818,0.0388345635906473,commonReceiver,4_5_3
-1.5781811884207415,0.9859820033828879,-1.6006186553162514,0.10946140778249336,inertia,4_5_3
-1.0133695848291298,1.5825807637601517,-0.6403272477680079,0.521959869866411,recip,4_5_3
-0.12504607467264553,0.24543704489298523,-0.5094832963262239,0.6104135036803924,nodeTrans,4_5_3
0.23693063652802565,0.991463545868473,0.23897059807729606,0.8111283816281349,cycle,4_5_3
0.8284112491436069,0.9709760777191201,0.8531736961940335,0.39356298787891086,outdeg,4_5_2
-1.3025380531068447,0.16465392685897504,-7.910762154020533,2.6645352591003757e-15,diff,4_5_2
-1.3166831655313516,0.903426379083548,-1.4574327206020028,0.1449969704334766,commonReceiver,4_5_2
-1.2616863615218656,0.9066470366662253,-1.391595968990461,0.16404478022070967,inertia,4_5_2
0.4462056011219434,1.1483231196070027,0.38857146869484865,0.6975931760220548,recip,4_5_2
0.10284037148387867,0.2188584292797367,0.4698944967407764,0.6384303963060187,nodeTrans,4_5_2
1.185605535618746,0.8054992593659053,1.4718890450030495,0.14105084236493148,cycle,4_5_2
1.084270944621592,0.8330456079151597,1.3015745288366227,0.19306187173846134,outdeg,4_5_1
-1.854608271354307,0.2437627009571874,-7.608252879016286,2.7755575615628914e-14,diff,4_5_1
-0.025859273326094032,1.1295798661703327,-0.02289282422655596,0.9817357643347595,commonReceiver,4_5_1
-0.29269228632732935,1.002572211097759,-0.29194135154299566,0.7703314660275109,inertia,4_5_1
0.0292304972306606,1.19916614103998,0.024375685928982593,0.9805529423802315,recip,4_5_1
0.08657718163542782,0.27755308124114786,0.31193017655677374,0.7550935883218977,nodeTrans,4_5_1
-0.9278137472421689,1.0764958491592145,-0.8618832557197762,0.38875176405094614,cycle,4_5_1
7.917732008857006,361.16463704756205,0.021922777583050893,0.9825095552562497,outdeg,4_4_3
-21.902734158558314,357.82954885144466,-0.06120996499272166,0.9511919936989623,diff,4_4_3
-10.92863854208283,218.00457054249014,-0.050130318437304436,0.9600185394854082,commonReceiver,4_4_3
-11.245318973092717,217.98904505582263,-0.05158662431964421,0.9588580773958142,inertia,4_4_3
-4.096375513354983,615.8056845032356,-0.006652058622452451,0.9946924642705919,recip,4_4_3
-0.6480412557898867,1.7129570218290295,-0.3783172884851093,0.7051949038132284,nodeTrans,4_4_3
2.679545737666118,287.9694607904423,0.009304964944237767,0.9925758192661991,cycle,4_4_3
0.3734896848416055,0.7987345229630167,0.46760178019612025,0.6400693916292854,outdeg,4_4_2
-1.3098476188620365,0.14526479495941547,-9.016965323414981,0,diff,4_4_2
-8.955169209127751,37.74924361058026,-0.23722777869429468,0.8124800870263846,commonReceiver,4_4_2
-10.095210694143645,37.73344839897315,-0.267540103607874,0.7890533408786742,inertia,4_4_2
9.160972727001468,37.72309546540144,0.2428478525948024,0.8081232639304836,recip,4_4_2
0.42493208205398686,0.521654660581666,0.8145850390374553,0.415309877078192,nodeTrans,4_4_2
8.333379182521883,37.72613662165301,0.22089140126102705,0.8251769928598252,cycle,4_4_2
10.502965157486448,190.85153872898894,0.055032121969950484,0.9561128729285822,outdeg,4_4_1
-22.148239712885037,196.45679018059982,-0.11273847899339334,0.9102378938803313,diff,4_4_1
-12.613650822836734,190.8722275616908,-0.06608426476691033,0.9473107383615824,commonReceiver,4_4_1
-11.20867227122646,190.86084030996633,-0.05872693556741701,0.9531696048778777,inertia,4_4_1
-10.843735301687378,190.85965589687015,-0.056815230283904124,0.9546923815234467,recip,4_4_1
1.7113938080694084,1.4520664141939874,1.1785919647617278,0.2385606927675452,nodeTrans,4_4_1
1.1563180822302206,1.6627834008614142,0.6954111290930518,0.4867976880298672,cycle,4_4_1
-21.249443961957773,105.06140561144201,-0.20225737356443232,0.839715522210833,outdeg,4_3_3
-2.0964299714965207,0.20512660209023828,-10.22017597977989,0,diff,4_3_3
-9.840830071113581,48.09001190418458,-0.20463355448363438,0.8378584374292466,commonReceiver,4_3_3
-2.0964299225923706,1.4289817463199816,-1.4670795676650525,0.14235441166573937,inertia,4_3_3
29.877410383387804,128.09113631467693,0.2332511931972329,0.8155663555166139,recip,4_3_3
7.945724143722606,48.076498803617824,0.1652725207003776,0.8687294866700517,nodeTrans,4_3_3
16.314426465377952,64.0535176226166,0.2546999301661695,0.7989548701856388,cycle,4_3_3
8.131074285072913,110.1874218188645,0.07379312584733554,0.941174996892677,outdeg,4_2_8
-1.2736212049099345,0.14484681095067636,-8.792883989303924,0,diff,4_2_8
14.54087166748812,289.8293259997584,0.050170463659361515,0.9599865484875139,commonReceiver,4_2_8
-7.2565717905631555,163.56683335718378,-0.044364567324702384,0.9646138050044906,inertia,4_2_8
