"file_name","Team_ID","Round_Number","Covariate","Estimate","SE","Z_value","p_value","Significant_at_0.001","Significant_at_0.05","AIC","BIC","participant1","participant2","participant3","Vero_type"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"RRecSnd",-0.387864198393301,0.313841463338292,-1.23586027884155,0.216510504003881,FALSE,FALSE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"RSndSnd",2.42924500271287,0.243705347895067,9.9679593562257,2.1050940252921e-23,TRUE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"CovSnd.1",-7.01086693053253,0.263852485834968,-26.5711611863214,1.46280643790864e-155,TRUE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"PSAB-BA",1.3913932049433,0.478588172204501,2.90728707007986,0.00364578454605887,FALSE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"PSAB-BY",0.86824501397866,0.315427414314798,2.75259845712759,0.00591243650569913,FALSE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"PSAB-XA",1.00060335430867,0.291770542422448,3.42941870005478,0.000604875617244966,TRUE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"PSAB-XB",0.723220182321226,0.244411991991163,2.95902085830295,0.00308618211610969,FALSE,TRUE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
"03_06_2021PM_vero #7_team_round 2_otter.ai_made_perfect.csv","2_7_8",2,"PSAB-AY",0.551039019440414,0.342815551317252,1.60739213061681,0.107968375266487,FALSE,FALSE,1504.80279143173,1527.49304668734,"219","493",-1,"teamwork"
